Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:11	a7ds		rc://*/ta/man/translate/figs-personification	I have summoned a drought upon the land	0	Rain not falling for a long time is spoken of as if Yahweh had told a person to come and make the land dry. Alternate translation: “I have kept the rain from falling on the land” (See: [[rc://*/ta/man/translate/figs-personification]])
1:11	v7pk		rc://*/ta/man/translate/figs-metonymy	upon the new wine, upon the oil	0	“Wine” and “oil” are metonyms for grapes and olives. (See: [[rc://*/ta/man/translate/figs-metonymy]])
1:11	ird4		rc://*/ta/man/translate/figs-abstractnouns	all the labor of your hands	0	If your language does not use an abstract noun for the idea behind the word **labor**, you can express the same idea with a verbal form such as “work hard.” The labor that the hands perform is a metonym for the things that the labor produces. The hand is a metonym for the person. Alternate translation: “everything you have worked hard to make” (See: [[rc://*/ta/man/translate/figs-abstractnouns]] and [[rc://*/ta/man/translate/figs-metonymy]])
1:12	n5g8		rc://*/ta/man/translate/translate-names	Zerubbabel … Shealtiel … Joshua … Jehozadak … Haggai	0	See how you translated these men’s names in [Haggai 1:1](../01/01.md). (See: [[rc://*/ta/man/translate/translate-names]])
1:12	c4he		rc://*/ta/man/translate/figs-metonymy	obeyed the voice of Yahweh … the words of Haggai	0	The voice and the words are metonyms for the persons. Alternate translation: “obeyed Yahweh and Haggai” (See: [[rc://*/ta/man/translate/figs-metonymy]])
1:12	e9sl		rc://*/ta/man/translate/figs-synecdoche	the people feared the face of Yahweh	0	This could mean: (1) the face could be a synecdoche for the person. Alternate translation: “the people feared Yahweh” or (2) the face could be a metonym for the person’s presence. Alternate translation: “the people were afraid to be in Yahweh’s presence” (See: [[rc://*/ta/man/translate/figs-synecdoche]] and [[rc://*/ta/man/translate/figs-metonymy]])
1:13	dtj5			this is Yahweh’s declaration	0	Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared”
1:14	n1e7		rc://*/ta/man/translate/figs-metonymy	Yahweh stirred up the spirit of the governor of Judah, Zerubbabel son of Shealtiel, and the spirit of the high priest Joshua son of Jehozadak, and the spirit of all the remnant of the people	0	Stirring the spirit is a metonym for making someone want to act. Alternate translation: “Yahweh made the governor of Judah, Zerubbabel son of Shealtiel, and the high priest Joshua son of Jehozadak, and all the remnant of the people want to act” (See: [[rc://*/ta/man/translate/figs-metonymy]])
1:14	iax3			remnant	0	people who were still alive after being captive in Babylon and had returned to Jerusalem
1:15	vp6z		rc://*/ta/man/translate/translate-hebrewmonths	in the twenty-fourth day of the sixth month	0	This is just 23 days after he received the vision. This is the sixth month of the Hebrew calendar. The twenty-fourth day is near the middle of September on Western calendars. (See: [[rc://*/ta/man/translate/translate-hebrewmonths]] and [[rc://*/ta/man/translate/translate-ordinal]])
1:15	cx2u		rc://*/ta/man/translate/translate-ordinal	the second year of Darius the king	0	“second year of the reign of Darius the king” or “after Darius had been king for more than one year” (See: [[rc://*/ta/man/translate/translate-ordinal]])
2:intro	ieh7				0	# Haggai 2 General Notes\n\n## Structure and formatting\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetry in 2:3-9, 21-23.\n\n## Important figures of speech in this chapter\n\n### Unclean\n\nHaggai uses an extended metaphor in this chapter related to ritual cleanliness. While the Jews were not unclean by nature as the Gentiles were, their actions made them unclean. (See: [[rc://*/ta/man/translate/figs-metaphor]] and [[rc://*/tw/dict/bible/kt/clean]])
2:1	v31v		rc://*/ta/man/translate/translate-hebrewmonths	In the seventh month on the twenty-first day of the month	0	This is the seventh month of the Hebrew calendar. The twenty-first day is near the middle of October on Western calendars. (See: [[rc://*/ta/man/translate/translate-hebrewmonths]] and [[rc://*/ta/man/translate/translate-ordinal]])
2:1	fm14		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came	0	This idiom is used to introduce a special message from God. See how you translated this in [Haggai 1:1](../01/01.md). Alternate translation: “Yahweh gave a message” or “Yawheh spoke this message” (See: [[rc://*/ta/man/translate/figs-idiom]])
2:1	t1us		rc://*/ta/man/translate/figs-synecdoche	by the hand of Haggai	0	Here the word “hand” refers to Haggai himself. Yahweh used Haggai as the agent to deliver his command. See how you translated this in [Haggai 1:1](../01/01.md). Alternate translation: “through Haggai” (See: [[rc://*/ta/man/translate/figs-synecdoche]])
2:1	hz54		rc://*/ta/man/translate/translate-names	Haggai	0	See how you translated this man’s name in [Haggai 1:1](../01/01.md). (See: [[rc://*/ta/man/translate/translate-names]])
2:2	q56p		rc://*/ta/man/translate/translate-names	Zerubbabel … Shealtiel … Joshua … Jehozadak	0	See how you translated these men’s names in [Haggai 1:1](../01/01.md). (See: [[rc://*/ta/man/translate/translate-names]])
2:3	wy32				0	# General Information:\n\nYahweh speaks to the people about the new temple they are building. They are building it on the same place their ancestors built the former temple, which Nebuchadnezzar completely destroyed. This new temple is much smaller than the former temple.
2:3	m1jr		rc://*/ta/man/translate/figs-rquestion	Who is left among you who saw this house in its former glory?	0	Yahweh speaks of the new temple as if it were the same building as the old temple. He is telling those who had seen the former temple to pay attention. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “I want those among you who saw this house in its former glory to pay attention.” (See: [[rc://*/ta/man/translate/figs-rquestion]] and [[rc://*/ta/man/translate/figs-explicit]])
2:3	x5q5		rc://*/ta/man/translate/figs-rquestion	How do you see it now?	0	Yahweh is telling them that he knows what they are thinking about the new temple. He speaks of the new temple as if it were the same building as the old temple. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “I know what you think of this new temple.” (See: [[rc://*/ta/man/translate/figs-rquestion]] and [[rc://*/ta/man/translate/figs-explicit]])
2:3	tsx7		rc://*/ta/man/translate/figs-rquestion	Is it not like nothing in your eyes?	0	Yahweh is telling the people that he understands that they are disappointed because the new temple is so small. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “I know that you think it is not important at all.” (See: [[rc://*/ta/man/translate/figs-rquestion]] and [[rc://*/ta/man/translate/figs-doublenegatives]])
2:4	y2v9			Now, be strong	0	Alternate translation: “From now on, be strong”
2:4	x8wv		rc://*/ta/man/translate/figs-123person	this is the declaration of Yahweh of hosts	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Haggai 1:9](../01/09.md). Alternate translation: “this is what Yahweh of hosts has declared” or “this is what I, Yahweh of hosts, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
2:6	e2qq		rc://*/ta/man/translate/figs-metaphor	I will … shake the heavens … the earth … the sea … the dry land	0	The words “I will shake the earth” could be translated as “I will cause an earthquake,” and that earthquake would shake “the sea” as well as “the dry land,” a merism for the entire earth. Yahweh speaks of the heavens and every nation as if they also were solid objects that he could shake. (See: [[rc://*/ta/man/translate/figs-metaphor]] and [[rc://*/ta/man/translate/figs-merism]])
2:6	l2sj			shake	0	Use the verb you usually use for pushing trees back and forth to get fruit or other objects to fall from them.
2:7	hre1		rc://*/ta/man/translate/figs-metaphor	I will shake every nation	0	The metaphor that begins with the words “I will … shake the heavens” in verse 6 ends here. Yahweh speaks of every nation as if they also were solid objects that he could shake. (See: [[rc://*/ta/man/translate/figs-metaphor]] and [[rc://*/ta/man/translate/figs-merism]])
2:7	u8qx		rc://*/ta/man/translate/figs-metaphor	I will fill this house with glory	0	Yahweh speaks of glory as if it were a solid or liquid that could be put into a container, the temple. This could mean: (1) the temple will become very beautiful. Alternate translation: “I will make this house very beautiful” or (2) the “precious things” that “every nation will bring” include much silver and gold and other forms of wealth. Alternate translation: “I will have people bring many beautiful things into this house” (See: [[rc://*/ta/man/translate/figs-metaphor]])
2:8	f56d		rc://*/ta/man/translate/figs-123person	this is the declaration of Yahweh of hosts	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Haggai 1:9](../01/09.md). Alternate translation: “this is what Yahweh of hosts has declared” or “this is what I, Yahweh of hosts, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
2:10	wc9p		rc://*/ta/man/translate/translate-hebrewmonths	On the twenty-fourth day of the ninth month	0	This is the ninth month of the Hebrew calendar. The twenty-fourth day is near the middle of December on Western calendars. (See: [[rc://*/ta/man/translate/translate-hebrewmonths]] and [[rc://*/ta/man/translate/translate-ordinal]])
2:10	if92		rc://*/ta/man/translate/translate-ordinal	in the second year of Darius	0	“in the second year of the reign of Darius” or “when Darius had been king for more than one year” (See: [[rc://*/ta/man/translate/translate-ordinal]])
2:10	i4py		rc://*/ta/man/translate/translate-names	Darius … Haggai	0	See how you translated these men’s names in [Haggai 1:1](../01/01.md). (See: [[rc://*/ta/man/translate/translate-names]])
2:10	s26v		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came	0	This idiom is used to introduce a special message from God. See how you translated this in [Haggai 1:1](../01/01.md). Alternate translation: “Yahweh gave a message” or “Yawheh spoke this message” (See: [[rc://*/ta/man/translate/figs-idiom]])
2:12	x84u			meat that is set apart to Yahweh … holy	0	The words “that is set apart to Yahweh” and the word “holy” translate the same Hebrew word. “holy meat … holy”
2:13	bg3q			because of death	0	Alternate translation: “because he has touched a dead body”
2:14	q5p8			So Haggai answered and said, “So it is … is unclean	0	Haggai answers the priests with the words that Yahweh told Haggai to tell the priests. Alternate translation: “So Haggai answered and told them Yahweh’s words: ‘So it is … is unclean”
2:14	dv6p			So it is with this people and this nation before me	0	“I look at this people and this nation the same way.” Yahweh reminds the priests that a clean thing that touches an unclean thing becomes unclean. He then reminds them that he thinks of them as unclean because they have been worshiping idols, and so everything they touch and make becomes unclean.
2:14	ua4f		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Haggai 1:9](../01/09.md). Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
2:15	l2sc		rc://*/ta/man/translate/figs-activepassive	Before stone was placed upon stone in the temple	0	This can be translated in active form. Alternate translation: “Before you laid the first stones for the temple” (See: [[rc://*/ta/man/translate/figs-activepassive]])
2:16	zx3c		rc://*/ta/man/translate/translate-numbers	twenty measures	0	“20 measures.” A “measure” is an unknown amount. (See: [[rc://*/ta/man/translate/translate-numbers]] and [[rc://*/ta/man/translate/translate-bvolume]])
2:16	ply4		rc://*/ta/man/translate/translate-numbers	fifty measures	0	“50 measures.” A “measure” is an unknown amount. (See: [[rc://*/ta/man/translate/translate-numbers]] and [[rc://*/ta/man/translate/translate-bvolume]])
2:17	p7cx			all the work of your hands	0	Alternate translation: “everything you made” or “your crops”
2:17	bk6n		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Haggai 1:9](../01/09.md). Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
2:18	zyq1		rc://*/ta/man/translate/translate-hebrewmonths	the twenty-fourth day of the ninth month	0	This is the ninth month of the Hebrew calendar. The twenty-fourth day is near the middle of December on Western calendars. See how you translated this in [Haggai 2:10](../02/10.md). (See: [[rc://*/ta/man/translate/translate-hebrewmonths]] and [[rc://*/ta/man/translate/translate-ordinal]])
2:18	pcm4		rc://*/ta/man/translate/figs-activepassive	the day that the foundation of Yahweh’s temple was laid	0	This can be translated in active form. Alternate translation: “the day that you laid the foundation of Yahweh’s temple” (See: [[rc://*/ta/man/translate/figs-activepassive]])
2:19	mx58		rc://*/ta/man/translate/figs-rquestion	Is there still seed in the storehouse?	0	Yahweh is preparing the people for the promise he is about to give them. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “you could see that there is no seed in the storehouse.” (See: [[rc://*/ta/man/translate/figs-rquestion]])
2:19	ld7r			The vine, the fig tree, the pomegranate, and the olive tree	0	Alternate translation: “Your grape vines, fig trees, pomegranate trees, and olive trees”
2:19	g2gc		rc://*/ta/man/translate/figs-explicit	the pomegranate	0	This is a type of sweet fruit. You may need to make explicit that the tree is being spoken of. Alternate translation: “the pomegranate tree” (See: [[rc://*/ta/man/translate/figs-explicit]] and [[rc://*/ta/man/translate/translate-unknown]])
2:20	l5py		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came	0	This idiom is used to introduce a special message from God. See how you translated this in [Haggai 1:1](../01/01.md). Alternate translation: “Yahweh gave a message” or “Yawheh spoke this message” (See: [[rc://*/ta/man/translate/figs-idiom]])
2:20	hwk9		rc://*/ta/man/translate/translate-names	Haggai	0	This is the name of a man. See how you translated this in [Haggai 1:1](../01/01.md). (See: [[rc://*/ta/man/translate/translate-names]])
2:20	rru4		rc://*/ta/man/translate/translate-hebrewmonths	on the twenty-fourth day of the month	0	You may need to make explicit which month is spoken of. Alternate translation: “on the twenty-fourth day of the ninth month” (See: [[rc://*/ta/man/translate/translate-hebrewmonths]] and [[rc://*/ta/man/translate/translate-ordinal]] and [[rc://*/ta/man/translate/figs-ellipsis]])
2:21	ac9q		rc://*/ta/man/translate/translate-names	Zerubbabel	0	This is the name of a man. See how you translated this in [Haggai 1:1](../01/01.md). (See: [[rc://*/ta/man/translate/translate-names]])
2:21	w9i2		rc://*/ta/man/translate/figs-metaphor	I will shake the heavens and the earth	0	The words “I will shake the earth” could be translated as “I will cause an earthquake.” Yahweh speaks of the heavens as if they also were solid objects that he could shake. See how these ideas are translated in [Haggai 2:6](../02/06.md).(See: [[rc://*/ta/man/translate/figs-metaphor]])
2:21	v17h			shake	0	Use the verb you usually use for pushing trees back and forth to get fruit or other objects to fall from them. See how you translated this in [Haggai 2:6](../02/06.md).
2:21	fbc6		rc://*/ta/man/translate/figs-merism	the heavens and the earth	0	This is a merism for “the whole universe” or “everything that exists.” (See: [[rc://*/ta/man/translate/figs-merism]])
2:22	ni5i		rc://*/ta/man/translate/figs-metonymy	I will overthrow the throne of kingdoms	0	The throne is a metonym for the person sitting on the throne. Alternate translation: “I will take kings off of their thrones” (See: [[rc://*/ta/man/translate/figs-metonymy]])
2:22	sv3n		rc://*/ta/man/translate/figs-metonymy	the throne of kingdoms	0	Here “throne” is a metonym for the king who sits on it. Alternate translation: “government ruled by kings” (See: [[rc://*/ta/man/translate/figs-metonymy]])
2:22	gza6		rc://*/ta/man/translate/figs-explicit	I will … destroy the strength of the kingdoms of the nations	0	You may need to make explicit that “the nations” are Israel’s enemies. Alternate translation: “I will make it so the kingdoms of the nations that are Israel’s enemies are no longer strong” (See: [[rc://*/ta/man/translate/figs-explicit]])
2:22	js5m		rc://*/ta/man/translate/figs-metonymy	each one because of his brother’s sword	0	The sword here is a metonym for violent death. Alternate translation: “each one because his brother has killed him” (See: [[rc://*/ta/man/translate/figs-metonymy]])
2:23	p75j		rc://*/ta/man/translate/figs-123person	this is the declaration of Yahweh of hosts	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Haggai 1:9](../01/09.md). Alternate translation: “this is what Yahweh of hosts has declared” or “this is what I, Yahweh of hosts, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
2:23	p3ww		rc://*/ta/man/translate/translate-names	Zerubbabel … Shealtiel	0	See how you translated these men’s names in [Haggai 1:1](../01/01.md). (See: [[rc://*/ta/man/translate/translate-names]])
2:23	itg1		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Haggai 1:9](../01/09.md). Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
2:23	h7nz		rc://*/ta/man/translate/figs-simile	I will make you like a signet ring	0	Kings used a signet ring to seal documents to show that they truly had his authority. Zerubbabel would have authority from Yahweh because he would speak Yahweh’s words. (See: [[rc://*/ta/man/translate/figs-simile]])
